aback, NN
abaft, NN
abandon, VB
abandon, VBP
abandoned, VBD
abandoned, VBN
abandonment, NN
abased, JJ
abased, VBN
abasement, NN
abashed, VBD
abate, VB
abated, JJ
abated, VBD
abatement, NN
abating, VBG
abbreviate, JJ
abbreviation, NN
abeam, NN
abed, VBN
abhorred, JJ
abhorred, VBD
abhorred, VBN
abhorrence, NN
abhorrent, NN
abhorring, VBG
abide, VB
abided, VBN
abiding, VBG
ability, NN
able, JJ
ablutions, NNS
aboard, NN
abode, NN
abominable, JJ
abominate, VBP
abominated, VBD
abomination, NN
aboriginal, JJ
aboriginalness, NN
abortion, NN
abortions, NNS
abound, VBP
abounded, VBD
abounding, NN
abounding, VBG
above, JJ
above, NN
abreast, NN
abridged, JJ
abridged, VBN
absence, NN
absent, JJ
absent, NN
absolute, JJ
absolute, NN
absolutely, JJ
absorbed, VBN
absorbing, JJ
absorbing, VBG
abstained, VBD
abstemious, JJ
abstinence, NN
abstract, NN
abstracted, VBN
abstraction, NN
absurd, JJ
abundance, NN
abundant, JJ
accelerate, VB
accelerate, VBP
accelerated, VBN
accelerating, VBG
accept, VB
accessible, JJ
accessory, NN
accident, NN
accidental, JJ
accidents, NNS
accommodate, VB
accommodated, VBN
accommodation, NN
accompanied, VBD
accompanied, VBN
accompanies, VBZ
accompaniments, NNS
accompany, JJ
accompany, VB
accompanying, VBG
accomplish, JJ
accomplish, VB
accomplished, JJ
accomplished, VBD
accomplished, VBN
accomplishing, VBG
accomplishment, NN
accordance, NN
according, VBG
accosted, VBD
account, NN
account, VB
account, VBP
accountable, JJ
accountants, NNS
accounted, VBD
accounted, VBN
accounting, VBG
accounts, NNS
accumulate, VB
accumulated, VBD
accumulated, VBN
accumulating, NN
accuracy, NN
accurate, JJ
accursed, JJ
accursed, VBD
accustomed, JJ
accustomed, VBD
accustomed, VBN
acerbities, NNS
ache, NN
ached, VBD
achieve, VBP
achieved, VBN
acknowledges, VBZ
acknowledging, VBG
acquaintance, NN
acquaintances, NNS
acquainted, JJ
acquainted, VBN
acquiesce, VB
acquiesced, VBD
acquiescence, NN
acquired, VBD
acquired, VBN
acre, NN
acres, NNS
acridness, NN
act, JJ
act, NN
act, VB
act, VBP
acted, VBD
acted, VBN
actest, JJS
action, NN
actions, NNS
active, JJ
activity, NN
acts, NNS
acts, VBZ
actual, JJ
actuated, VBN
acute, NN
acuteness, NN
adapted, VBN
add, VB
added, JJ
added, VBD
added, VBN
adding, VBG
addition, NN
additional, JJ
address, NN
address, VB
addressed, VBD
addressed, VBN
addressing, VBG
adds, VBZ
adequate, JJ
adequate, VBP
adhering, VBG
adhesiveness, NN
adieu, VB
adieux, NN
adjacent, JJ
adjoining, JJ
adjoining, NN
adjust, VB
admeasurement, NN
admeasurements, NNS
administered, VBD
administering, VBG
admirable, JJ
admiral, JJ
admirals, NNS
admire, NN
admire, VB
admire, VBP
admirer, NN
admirers, NNS
admit, NN
admit, VB
admit, VBP
admits, NNS
admits, VBZ
admitted, VBD
admitted, VBN
admitting, VBG
admonish, JJ
admonished, VBD
admonishing, VBG
admonitions, NNS
admonitory, JJ
ado, JJ
ado, NN
ado, NNS
adolescence, NN
adopt, VB
adopted, VBN
adopting, VBG
adoption, NN
adoration, NN
adoring, VBG
adorned, VBN
adorning, VBG
adornment, NN
adrift, NN
adroit, JJ
adroop, NN
adult, NN
adulterer, NN
advance, JJ
advance, NN
advance, VB
advanced, JJ
advanced, VBD
advanced, VBN
advances, NNS
advances, VBZ
advancing, VBG
advantage, NN
advantages, NNS
advent, NN
adventure, NN
adventures, NNS
adventures, VBZ
adventurous, JJ
adverse, JJ
advert, VB
advertised, VBN
advice, NN
advised, VBD
advocate, NN
aerated, VBN
afar, JJ
afar, NN
afar, VBN
afar, VBP
affair, NN
affairs, NNS
affect, VB
affect, VBP
affected, JJ
affected, VBD
affected, VBN
affecting, VBG
affection, NN
affectionate, JJ
affectionate, NN
affidavit, NN
affinities, NNS
affirm, NN
affirmative, JJ
affirms, VBZ
affixed, VBN
afflicted, VBN
afflictions, NNS
affluent, JJ
afford, NN
afford, VB
afford, VBZ
afforded, VBD
afforded, VBN
afforded, VBZ
affording, VBG
affords, VBZ
affright, NN
affrighted, JJ
affrighted, VBD
affrighted, VBN
affrights, NNS
affronted, VBD
afloat, NN
afloat, VB
afloat, VBN
afloat, VBP
afloat, VBZ
afoam, NN
aforesaid, NN
aforethought, NN
afoul, NN
afraid, JJ
afraid, NN
afraid, VBN
afresh, JJ
afresh, NN
afresh, VBP
african, JJ
aft, NN
afternoon, NN
afternoons, NNS
afterwards, JJ
afterwards, NNS
afterwards, VB
afterwards, VBP
afterwards, VBZ
again, NN
again, VBP
againe, NN
age, NN
aged, JJ
aged, VBN
agencies, NNS
agency, NN
agent, NN
agents, NNS
ages, NNS
aggravate, NN
aggregate, NN
aggregated, JJ
aggregated, VBN
aggregation, NN
aggregations, NNS
aghast, NN
agile, NN
agitated, JJ
agitated, VBN
aglow, JJ
agonies, NNS
agonized, JJ
agonizing, NN
agonizing, VBG
agony, NN
agrarian, JJ
agree, NN
agree, VBP
agreeable, JJ
agreed, VBD
agreed, VBN
agrees, VBZ
aground, VBN
ague, NN
ah, NN
ah, VB
ahab, NN
ahab, VB
ahoy, NN
aid, NN
aides, NNS
ails, VBZ
aim, NN
aimed, VBN
ain, NN
ain, VB
ain, VBP
ain, VBZ
aint, NN
aint, VBP
aint, VBZ
air, NN
airley, NN
airth, JJ
airth, NN
aisle, NN
akin, JJ
akin, VBP
alarm, NN
alarm, VBP
alarmed, JJ
alarmed, VBN
alarms, NNS
alas, NN
alb, NN
albatross, NN
albatrosses, NNS
alcoves, NNS
aldermen, NNS
ale, NN
aleak, NN
alert, JJ
alewives, NNS
alexander, VB
alexanders, NNS
alien, JJ
alien, NN
aliens, NNS
alights, VBP
alike, JJ
alike, VB
aliment, NN
alive, JJ
alive, VBP
all, VB
allay, VB
allaying, VBG
alleged, JJ
alleged, VBN
alleghanian, JJ
allegiance, NN
allegorical, JJ
allegory, NN
alleys, NNS
allies, NNS
allotted, JJ
allow, VB
allow, VBP
allowance, NN
allowances, NNS
allowed, VBD
allowed, VBN
allowing, VBG
allude, VB
allude, VBP
alluded, VBD
alluded, VBN
alluding, VBG
allured, VBN
allurements, NNS
allures, NNS
allures, VBZ
alluring, VBG
allurings, NNS
allusion, NN
allusions, NNS
almanac, NN
almighty, JJ
almighty, NN
alms, NN
alms, NNS
aloft, JJ
aloft, NN
alone, NN
alongside, NN
aloof, JJ
aloud, JJ
aloud, NN
aloud, VB
alow, NN
alow, VB
alpacas, NN
alpine, JJ
already, JJ
altar, NN
alter, VB
altered, JJ
altered, VBN
altering, VBG
alternate, NN
alternating, JJ
alternating, NN
alternating, VBG
altitude, NN
altitudes, NNS
altogether, NN
am, VBP
amain, NN
amaze, VB
amazement, NN
amazing, JJ
amazing, VBG
amber, NN
amber, VB
ambergris, JJ
ambergris, NN
ambergris, VBP
ambiguous, JJ
ambition, NN
ambitious, JJ
amen, NNS
amend, VB
american, JJ
amidst, NN
amorous, JJ
amount, NN
amount, VB
amounted, VBD
amounts, NNS
amours, NN
amours, NNS
amphibious, JJ
amphitheatrical, JJ
ample, JJ
amplified, JJ
amplify, VB
amputate, VB
amputated, JJ
amputating, VBG
